story_id,policy_id,status,rationale,confidence
story_070,POL_AEM_009,pass,Story fully complies with policy 'Fragments'. Criteria are clearly satisfied.,0.86
story_077,POL_RE_013,pass,Story fully complies with policy 'Assumptions'. Criteria are clearly satisfied.,0.94
story_077,POL_RE_012,pass,Compliant with 'Dependencies'—implementation and ACs align with policy intent.,0.88
story_077,POL_RE_010,fail,Fails 'Acceptance' check—criteria or implementation missing or unclear.,0.77
story_031,POL_RE_013,pass,Compliant with 'Assumptions'—implementation and ACs align with policy intent.,0.93
story_031,POL_RE_010,fail,Fails 'Acceptance' check—criteria or implementation missing or unclear.,0.81
story_031,POL_AEM_008,pass,Story fully complies with policy 'Clientlibs'. Criteria are clearly satisfied.,0.89
story_034,POL_AEM_008,unclear,Cannot determine compliance for 'Clientlibs' due to vague description.,0.81
story_034,POL_INV_006,unclear,Unclear compliance for 'Testable'—insufficient details in ACs.,0.86
story_034,POL_RE_009,pass,Compliant with 'Rationale'—implementation and ACs align with policy intent.,0.9
story_034,POL_RE_007,fail,Violation: Story lacks 'User_Persona' as required by policy.,0.83
story_034,POL_AEM_001,pass,Compliant with 'HTL'—implementation and ACs align with policy intent.,0.92
story_012,POL_INV_006,unclear,Unclear compliance for 'Testable'—insufficient details in ACs.,0.78
story_012,POL_AEM_003,fail,Fails 'Dispatcher' check—criteria or implementation missing or unclear.,0.77
story_012,POL_AEM_008,pass,Story fully complies with policy 'Clientlibs'. Criteria are clearly satisfied.,0.86
story_012,POL_RE_005,pass,Story fully complies with policy 'Consistency'. Criteria are clearly satisfied.,0.9
story_012,POL_INV_001,fail,Fails 'Independent' check—criteria or implementation missing or unclear.,0.76
story_067,POL_AEM_009,fail,Fails 'Fragments' check—criteria or implementation missing or unclear.,0.89
story_067,POL_AEM_010,unclear,Cannot determine compliance for 'Authoring' due to vague description.,0.77
story_067,POL_RE_004,pass,Compliant with 'Completeness'—implementation and ACs align with policy intent.,0.91
story_067,POL_AEM_004,fail,Violation: Story lacks 'Cache Invalidation' as required by policy.,0.87
story_068,POL_AEM_006,fail,Fails 'Alt Text' check—criteria or implementation missing or unclear.,0.77
story_068,POL_AEM_010,pass,Story fully complies with policy 'Authoring'. Criteria are clearly satisfied.,0.93
story_068,POL_AEM_003,unclear,Unclear compliance for 'Dispatcher'—insufficient details in ACs.,0.89
story_068,POL_AEM_004,pass,Compliant with 'Cache Invalidation'—implementation and ACs align with policy intent.,0.89
story_032,POL_RE_004,fail,Violation: Story lacks 'Completeness' as required by policy.,0.84
story_032,POL_INV_006,fail,Violation: Story lacks 'Testable' as required by policy.,0.82
story_032,POL_RE_008,pass,Story fully complies with policy 'Priority'. Criteria are clearly satisfied.,0.91
story_032,POL_RE_003,fail,Fails 'Traceability' check—criteria or implementation missing or unclear.,0.83
story_032,POL_RE_014,fail,Violation: Story lacks 'Non_Functional' as required by policy.,0.81
story_076,POL_RE_008,pass,Compliant with 'Priority'—implementation and ACs align with policy intent.,0.91
story_076,POL_AEM_009,fail,Fails 'Fragments' check—criteria or implementation missing or unclear.,0.79
story_076,POL_AEM_006,pass,Story fully complies with policy 'Alt Text'. Criteria are clearly satisfied.,0.91
